age,gender,height,looking_for,children,education_level,occupation,swiping_history,frequency_of_usage,state,year,month,day,hour,interests_array,engagement_label,gender_idx,looking_for_idx,children_idx,education_level_idx,occupation_idx,frequency_of_usage_idx,state_idx,gender_ohe,looking_for_ohe,children_ohe,education_level_ohe,occupation_ohe,frequency_of_usage_ohe,state_ohe,features_reg,scaledFeatures_reg,swiping_pred
18,Female,4.91,Marriage,No,Bachelor's,Engineer,41,Weekly,Illinois,2025,1,9,11,"['Reading', 'Reading']",0,1.0,1.0,0.0,0.0,0.0,1.0,47.0,"(1,[],[])","(1,[],[])","(1,[0],[1.0])","(3,[0],[1.0])","(5,[0],[1.0])","(2,[1],[1.0])","(49,[47],[1.0])","(68,[0,1,2,3,4,5,8,9,12,18,66],[18.0,4.91,2025.0,1.0,9.0,11.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.7113694163629694,0.0,-0.8236348656127096,-0.637553597718264,-0.0654952850878985,-1.237450844833538,-1.5374512900672246,0.4967402072067583,1.248088054717677,-0.661210510541652,-0.501808310671695,1.5405507998625658,-0.504806871570202,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,-1.0173863005150519,1.5467839679768862,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,7.730882450494073,-0.12740259114244717]",247.86373123521562
18,Female,4.94,Casual Dating,No,Ph.D.,Engineer,387,Daily,Idaho,2025,1,26,16,"['Sports', 'Movies', 'Reading']",1,1.0,0.0,0.0,3.0,0.0,0.0,39.0,"(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(3,[],[])","(5,[0],[1.0])","(2,[0],[1.0])","(49,[39],[1.0])","(68,[0,1,2,3,4,5,7,8,12,17,58],[18.0,4.94,2025.0,1.0,26.0,16.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.6459893707509479,0.0,-0.8236348656127096,1.3624599512231923,0.6633389084991356,-1.237450844833538,0.6503489904146952,0.4967402072067583,-0.8011292877353655,-0.661210510541652,-0.501808310671695,1.5405507998625658,-0.504806871570202,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,0.9827927639686134,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,7.2128772215184265,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",250.486183767695
18,Female,4.95,Casual Dating,No,Ph.D.,Engineer,323,Monthly,Indiana,2025,1,15,17,"['Reading', 'Movies', 'Reading']",1,1.0,0.0,0.0,3.0,0.0,2.0,3.0,"(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(3,[],[])","(5,[0],[1.0])","(2,[],[])","(49,[3],[1.0])","(68,[0,1,2,3,4,5,7,8,12,22],[18.0,4.95,2025.0,1.0,15.0,17.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.624196022213608,0.0,-0.8236348656127096,0.06833353720224992,0.8091057472165424,-1.237450844833538,0.6503489904146952,0.4967402072067583,-0.8011292877353655,-0.661210510541652,-0.501808310671695,1.5405507998625658,-0.504806871570202,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,-1.0173863005150519,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,6.561077590862043,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",246.58885010055033
18,Female,4.97,Marriage,Yes,Bachelor's,Artist,117,Daily,Delaware,2025,2,6,14,"['Movies', 'Sports', 'Reading']",0,1.0,1.0,1.0,0.0,4.0,0.0,6.0,"(1,[],[])","(1,[],[])","(1,[],[])","(3,[0],[1.0])","(5,[4],[1.0])","(2,[0],[1.0])","(49,[6],[1.0])","(68,[0,1,2,3,4,5,9,16,17,25],[18.0,4.97,2025.0,2.0,6.0,14.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.5806093251389284,0.0,1.160045750844162,-0.990497165178521,0.37180523106432195,-1.237450844833538,-1.5374512900672246,-2.0128829512904924,1.248088054717677,-0.661210510541652,-0.501808310671695,-0.6490405213487219,-0.504806871570202,-0.501808310671695,-0.33584299110531635,2.9910460820309663,0.9827927639686134,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,6.707801073661514,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",242.08751991037042
18,Female,5.01,Marriage,No,Bachelor's,Entrepreneur,71,Daily,Arkansas,2025,2,8,10,"['Sports', 'Sports', 'Sports']",0,1.0,1.0,0.0,0.0,1.0,0.0,26.0,"(1,[],[])","(1,[],[])","(1,[0],[1.0])","(3,[0],[1.0])","(5,[1],[1.0])","(2,[0],[1.0])","(49,[26],[1.0])","(68,[0,1,2,3,4,5,8,9,13,17,45],[18.0,5.01,2025.0,2.0,8.0,10.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.4934359309895668,0.0,1.160045750844162,-0.7552014535383497,-0.2112621238053053,-1.237450844833538,-1.5374512900672246,0.4967402072067583,1.248088054717677,-0.661210510541652,-0.501808310671695,-0.6490405213487219,1.9807176776276108,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,0.9827927639686134,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,7.010757627769738,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",252.41095864500485
18,Female,5.04,Casual Dating,No,High School,Entrepreneur,301,Weekly,Maine,2025,1,13,12,"['Sports', 'Sports', 'Reading']",1,1.0,0.0,0.0,1.0,1.0,1.0,44.0,"(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(3,[1],[1.0])","(5,[1],[1.0])","(2,[1],[1.0])","(49,[44],[1.0])","(68,[0,1,2,3,4,5,7,8,10,13,18,63],[18.0,5.04,2025.0,1.0,13.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.4280558853775454,0.0,-0.8236348656127096,-0.1669621744379214,0.08027155362950832,-1.237450844833538,0.6503489904146952,0.4967402072067583,-0.8011292877353655,1.512196007725144,-0.501808310671695,-0.6490405213487219,1.9807176776276108,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,-1.0173863005150519,1.5467839679768862,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,7.458738041178111,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",251.74368694395295
18,Female,5.08,Casual Dating,No,Bachelor's,Teacher,333,Weekly,Arkansas,2025,2,4,1,"['Reading', 'Reading']",1,1.0,0.0,0.0,0.0,2.0,1.0,26.0,"(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(3,[0],[1.0])","(5,[2],[1.0])","(2,[1],[1.0])","(49,[26],[1.0])","(68,[0,1,2,3,4,5,7,8,9,14,18,45],[18.0,5.08,2025.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.340882491228184,0.0,1.160045750844162,-1.2257928768186923,-1.5231636722619666,-1.237450844833538,0.6503489904146952,0.4967402072067583,1.248088054717677,-0.661210510541652,-0.501808310671695,-0.6490405213487219,-0.504806871570202,1.9925534771805633,-0.33584299110531635,-0.3342910362745251,-1.0173863005150519,1.5467839679768862,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,7.010757627769738,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",251.02652342520676
18,Female,5.11,Casual Dating,Yes,Bachelor's,Engineer,398,Monthly,New Jersey,2025,1,15,1,"['Reading', 'Movies']",1,1.0,0.0,1.0,0.0,0.0,2.0,2.0,"(1,[],[])","(1,[0],[1.0])","(1,[],[])","(3,[0],[1.0])","(5,[0],[1.0])","(2,[],[])","(49,[2],[1.0])","(68,[0,1,2,3,4,5,7,9,12,21],[18.0,5.11,2025.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.2755024456161626,0.0,-0.8236348656127096,0.06833353720224992,-1.5231636722619666,-1.237450844833538,0.6503489904146952,-2.0128829512904924,1.248088054717677,-0.661210510541652,-0.501808310671695,1.5405507998625658,-0.504806871570202,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,-1.0173863005150519,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,6.525833857848972,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",247.6224830699639
18,Female,5.17,Casual Dating,Yes,Master's,Lawyer,0,Daily,Maine,2025,2,22,5,"['Sports', 'Movies', 'Reading']",0,1.0,0.0,1.0,2.0,3.0,0.0,44.0,"(1,[],[])","(1,[0],[1.0])","(1,[],[])","(3,[2],[1.0])","(5,[3],[1.0])","(2,[0],[1.0])","(49,[44],[1.0])","(68,[0,1,2,3,4,5,7,11,15,17,63],[18.0,5.17,2025.0,2.0,22.0,5.0,1.0,1.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.1447423543921216,0.0,1.160045750844162,0.8918685279428495,-0.9400963173923393,-1.237450844833538,0.6503489904146952,-2.0128829512904924,-0.8011292877353655,-0.661210510541652,1.9925534771805633,-0.6490405213487219,-0.504806871570202,-0.501808310671695,2.9772242410544747,-0.3342910362745251,0.9827927639686134,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,-0.1469438611546827,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,7.458738041178111,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",246.85174458530074
18,Female,5.17,Marriage,No,Ph.D.,Engineer,104,Monthly,Kentucky,2025,1,8,5,['Sports'],0,1.0,1.0,0.0,3.0,0.0,2.0,14.0,"(1,[],[])","(1,[],[])","(1,[0],[1.0])","(3,[],[])","(5,[0],[1.0])","(2,[],[])","(49,[14],[1.0])","(68,[0,1,2,3,4,5,8,12,33],[18.0,5.17,2025.0,1.0,8.0,5.0,1.0,1.0,1.0])","[-1.6623405142187264,-1.1447423543921216,0.0,-0.8236348656127096,-0.7552014535383497,-0.9400963173923393,-1.237450844833538,-1.5374512900672246,0.4967402072067583,-0.8011292877353655,-0.661210510541652,-0.501808310671695,1.5405507998625658,-0.504806871570202,-0.501808310671695,-0.33584299110531635,-0.3342910362745251,-1.0173863005150519,-0.6464250438377518,-0.156873832484611,-0.15485286433149792,-0.15321871749835939,-0.15239568202936293,-0.15115349291459518,-0.15032017763277092,-0.14906224608136698,-0.14864077721151747,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.14821821377757743,-0.147369765376924,-0.1469438611546827,6.804502661424226,-0.14565930996020415,-0.14522881298580498,-0.1447971421542097,-0.1447971421542097,-0.14436428689626712,-0.14436428689626712,-0.14393023648663564,-0.1434949800405377,-0.1434949800405377,-0.1434949800405377,-0.14305850651042792,-0.14262080468257066,-0.14262080468257066,-0.14174167042653124,-0.14130021470780507,-0.14130021470780507,-0.14085748410271892,-0.14085748410271892,-0.14041346651188522,-0.14041346651188522,-0.13952152102733034,-0.13952152102733034,-0.13907356797419318,-0.13907356797419318,-0.13862427760783363,-0.13772163238086335,-0.13772163238086335,-0.1358997039960752,-0.1358997039960752,-0.13405483458285639,-0.1335899212598129,-0.13124239052196066,-0.12933580360455346,-0.12740259114244717]",248.61054850400072
